source_id,source_title,publisher,publisher_type,document_type,url,archived_url,publication_date,filing_date,reporting_period_start,reporting_period_end,access_date,language,official_source_flag,audited_flag,primary_or_secondary,source_grade,paywall_flag,local_filename_if_saved,notes
src_del_ch_overview,DELOITTE TOUCHE TOHMATSU LIMITED company overview,Companies House,government_registry,corporate_registry_record,https://find-and-update.company-information.service.gov.uk/company/07271800,,,,,,2026-07-18,en,true,false,primary,A,false,,"Authoritative current registry record for legal form, status, incorporation date, registered office, company number, and accounts reference date."
src_del_history,About Deloitte Ukraine - Deloitte history and global scale table,Deloitte,firm,official_history_webpage,https://www.deloitte.com/ua/en/about/story/about-deloitte-ukraine.html,,,,2009-06-01,2018-05-31,2026-07-18,en,true,false,primary,B,false,,Official Deloitte history page with annual global revenue and people table for 2010-2018; workforce values are rounded and one value is a lower bound.
src_del_metrics_2014,Deloitte 2014 Global Impact Report - Performance table,Deloitte Touche Tohmatsu Limited,firm,performance_metrics_pdf,https://www2.deloitte.com/content/dam/Deloitte/global/Documents/About-Deloitte/gx-gr14-performance-table.pdf,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/d/deloitte_2014.pdf,,,2011-06-01,2014-05-31,2026-07-18,en,true,false,primary,B,false,,"Historical official performance table with FY2012-FY2014 revenue, growth, and member-firm counts. The legacy Deloitte URL returns 404 after site migration; an accessible third-party archive of the official report is recorded."
src_del_metrics_2015,Deloitte 2015 Global Report - Performance table,Deloitte Touche Tohmatsu Limited,firm,performance_metrics_pdf,https://www2.deloitte.com/content/dam/Deloitte/global/Documents/About-Deloitte/gx-gr15-performance-table-sept.pdf,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/d/deloitte_2015.pdf,,,2012-06-01,2015-05-31,2026-07-18,en,true,false,primary,B,false,,"Historical official performance table with FY2013-FY2015 revenue, growth, service, region, and member-firm counts. The legacy Deloitte URL returns 404 after site migration; an accessible third-party archive of the official report is recorded."
src_del_metrics_2017,Deloitte 2017 Global Impact Report - Performance table,Deloitte Touche Tohmatsu Limited,firm,performance_metrics_pdf,https://www2.deloitte.com/content/dam/Deloitte/global/Documents/About-Deloitte/Deloitte-2017-Global-Impact-Report-Performance-table.pdf,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/d/deloitte_2017.pdf,,,2014-06-01,2017-05-31,2026-07-18,en,true,false,primary,B,false,,"Historical official performance table with FY2015-FY2017 revenue, growth, service, region, and workforce figures. The legacy Deloitte URL returns 404 after site migration; an accessible third-party archive of the official report is recorded."
src_del_metrics_2019,Deloitte 2019 Global Impact Report - Performance metrics,Deloitte Touche Tohmatsu Limited,firm,performance_metrics_pdf,https://www2.deloitte.com/content/dam/Deloitte/global/Documents/About-Deloitte/2019-global-impact-report-performance-metrics.pdf,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/d/deloitte_2019.pdf,,,2016-06-01,2019-05-31,2026-07-18,en,true,false,primary,B,false,,"Historical official performance metrics with FY2017-FY2019 revenue, growth, service, region, and workforce figures. The legacy Deloitte URL returns 404 after site migration; an accessible third-party archive of the official report is recorded."
src_del_metrics_2021,Deloitte 2021 Global Impact Report - Performance metrics,Deloitte Touche Tohmatsu Limited,firm,performance_metrics_pdf,https://www.deloitte.com/content/dam/assets-shared/legacy/docs/about/2022/gx-performance-metrics.pdf,,,,2018-06-01,2021-05-31,2026-07-18,en,true,false,primary,B,false,,"Official performance metrics PDF with FY2019-FY2021 revenue, growth, service, region, and workforce figures."
src_del_metrics_2023,Deloitte 2023 Global Impact Report - Performance metrics and reporting frameworks,Deloitte Touche Tohmatsu Limited,firm,performance_metrics_pdf,https://www.deloitte.com/content/dam/assets-shared/legacy/docs/gx-about-deloitte-global-report-full-version-2022.pdf,,,,2020-06-01,2023-05-31,2026-07-18,en,true,false,primary,B,false,,"Official 46-page 2023 performance report. The migrated URL filename says 2022, but the downloaded document identifies itself as the 2023 Global Impact Report."
src_del_metrics_2025,Performance metrics and reporting frameworks - Deloitte 2025 Global Impact Report,Deloitte Touche Tohmatsu Limited,firm,performance_metrics_pdf,https://www.deloitte.com/content/dam/assets-shared/docs/about/gir/global-performance-metrics-reporting.pdf,,,,2022-06-01,2025-05-31,2026-07-18,en,true,false,primary,B,false,,Official 51-page performance report. FY2024 service-line data are restated under the business-unit structure introduced in 2024; monetary values are presented in US dollars.
src_del_network_structure,"Deloitte network, brand and alliances",Deloitte Touche Tohmatsu Limited,firm,governance_webpage,https://www.deloitte.com/global/en/about/governance/network-brand-alliances.html,,,,,,2026-07-18,en,true,false,primary,B,false,,"Current official explanation of DTTL, member-firm independence, and the reporting organization perimeter."
src_del_offices_current,Deloitte office locations,Deloitte Touche Tohmatsu Limited,firm,office_directory_webpage,https://www.deloitte.com/global/en/offices.html?icid=bn_offices,,,,,,2026-07-18,en,true,false,primary,B,false,,"Current official directory landing page. It states 150+ countries and territories, six continents, and hundreds of locations, but gives no exact global office count or separate country and territory counts."
src_del_release_2010,Deloitte Announces Aggregate Revenue Results of US$26.6 Billion,Deloitte Touche Tohmatsu Limited,firm,official_press_release,https://www.prnewswire.com/news-releases/deloitte-announces-aggregate-revenue-results-of-us266-billion-102755604.html,,2010-09-13,,2009-06-01,2010-05-31,2026-07-18,en,true,false,primary,B,false,,Official DTTL announcement distributed by PR Newswire; includes FY2010 aggregate revenue and growth table.
src_del_release_2011,Deloitte Continues as an Engine of Employment Creation and Announces Record Revenues of US$28.8 Billion,Deloitte Touche Tohmatsu Limited,firm,official_press_release,https://www.prnewswire.co.uk/news-releases/deloitte-continues-as-an-engine-of-employment-creation-and-announces-record-revenues-of-us288-billion-145030285.html,,2011-09-22,,2010-06-01,2011-05-31,2026-07-18,en,true,false,primary,B,false,,"Official DTTL announcement distributed by PR Newswire; includes FY2011 aggregate revenue, growth, and workforce."
src_del_release_2025,Deloitte reports FY2025 revenue of US$70.5 billion,Deloitte Touche Tohmatsu Limited,firm,official_press_release,https://www.deloitte.com/global/en/about/press-room/global-revenue-announcement.html,,2025-09-30,,2024-06-01,2025-05-31,2026-07-18,en,true,false,primary,B,false,,"Official FY2025 revenue announcement; also states more than 470,000 people and presence in more than 150 countries and territories."
src_ey_companies_house_current,ERNST & YOUNG GLOBAL LIMITED overview,Companies House,government_registry,company_registry_record,https://find-and-update.company-information.service.gov.uk/company/04328808,,,,,,2026-07-18,en,true,false,primary,A,false,,Authoritative UK registry record: company number 04328808; active; incorporated 26 November 2001; private company limited by guarantee without share capital.
src_ey_fy11_archive,Global review 2011,Ernst & Young,professional_services_firm,archived_global_review_pdf,http://www.ey.com/Publication/vwLUAssetsPI/Global_review_2011/$FILE/Ernst_&_Young_Global_Review_2011.pdf,https://web.archive.org/web/20121003014524id_/http://www.ey.com/Publication/vwLUAssetsPI/Global_review_2011/$FILE/Ernst_&_Young_Global_Review_2011.pdf,,,2010-07-01,2011-06-30,2026-07-18,en,true,false,primary,B,false,,Archived official FY11 Global Review PDF; printed pages 41-43 contain exact revenue and people tables and the combined-information basis.
src_ey_fy12_archive,Global review 2012 - Facts and figures,Ernst & Young,professional_services_firm,archived_global_review_webpage,http://www.ey.com/GL/en/About-us/Our-global-approach/Global-review/Global-review-2012---Facts-and-figures,https://web.archive.org/web/20130327160938id_/http://www.ey.com/GL/en/About-us/Our-global-approach/Global-review/Global-review-2012---Facts-and-figures,,,2011-07-01,2012-06-30,2026-07-18,en,true,false,primary,B,false,,"Archived official FY12 facts-and-figures page; combined, not consolidated, global financial information."
src_ey_fy13,EY reports 2013 global revenues of US$25.8 billion,EY (distributed by PR Newswire),professional_services_firm,global_revenue_release,https://www.prnewswire.com/news-releases/ey-reports-2013-global-revenues-of-us258-billion-226874851.html,,2013-10-08,,2012-07-01,2013-06-30,2026-07-18,en,true,false,primary,B,false,,EY-supplied official release distributed by PR Newswire; exact global revenue and headcount tables.
src_ey_fy14,EY reports 2014 global revenues of US$27.4b,EY (distributed by PR Newswire),professional_services_firm,global_revenue_release,https://www.prnewswire.co.uk/news-releases/ey-reports-2014-global-revenues-of-us274b-277148601.html,,2014-09-26,,2013-07-01,2014-06-30,2026-07-18,en,true,false,primary,B,false,,EY-supplied official release distributed by PR Newswire; exact global revenue and headcount tables.
src_ey_fy15,EY reports 2015 global revenues up by 11.6%,EY (distributed by PR Newswire),professional_services_firm,global_revenue_release,https://www.prnewswire.com/news-releases/ey-reports-2015-global-revenues-up-by-116-300142820.html,,2015-09-15,,2014-07-01,2015-06-30,2026-07-18,en,true,false,primary,B,false,,"EY-supplied official release distributed by PR Newswire; exact service-line, area, and headcount tables."
src_ey_fy16,EY reports record global revenues in 2016 - up by 9%,EY (distributed by PR Newswire),professional_services_firm,global_revenue_release,https://www.prnewswire.co.uk/news-releases/ey-reports-record-global-revenues-in-2016---up-by-9-596112081.html,,2016-10-06,,2015-07-01,2016-06-30,2026-07-18,en,true,false,primary,B,false,,"EY-supplied official release distributed by PR Newswire; exact service-line, area, and headcount tables."
src_ey_fy17,EY reports strong global revenue growth in 2017,EY (distributed by PR Newswire),professional_services_firm,global_revenue_release,https://www.prnewswire.com/news-releases/ey-reports-strong-global-revenue-growth-in-2017-300513694.html,,2017-09-05,,2016-07-01,2017-06-30,2026-07-18,en,true,false,primary,B,false,,"EY-supplied official release distributed by PR Newswire; exact service-line, area, and headcount tables."
src_ey_fy18,EY reports record global revenues of US$34.8b in 2018,EY (distributed by PR Newswire),professional_services_firm,global_revenue_release,https://www.prnewswire.com/news-releases/ey-reports-record-global-revenues-of-us34-8b-in-2018--300711330.html,,2018-09-12,,2017-07-01,2018-06-30,2026-07-18,en,true,false,primary,B,false,,"EY-supplied official release distributed by PR Newswire; exact service-line, area, and headcount tables."
