observation_id,metric_id,firm_network,entity_id,entity_name,entity_scope,jurisdiction,geography_original,geography_canonical,service_line_original,service_line_canonical,industry_original,industry_canonical,client_id,period_start,period_end,fiscal_year_label,calendar_year,as_of_date,value_original_text,value_numeric,value_low,value_high,unit_original,unit_canonical,scale_original,currency_original,value_in_original_currency,value_usd_nominal,value_usd_constant_price,fx_rate_used,fx_rate_type,inflation_index_used,observation_status,reported_calculated_proxy_or_estimate,definition_from_source,formula_or_transformation,numerator_observation_ids,denominator_observation_ids,sample_size,population_size,source_id,source_locator,source_excerpt,extraction_method,comparability_score,confidence_score,quality_flag,revision_flag,supersedes_observation_id,researcher_notes
obs_del_0161,global_country_count,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,,,,,2026-07-18,not separately disclosed,,,,countries,count,units,,,,,,,,not_comparable,reported,Separate global country count. Deloitte reports a combined countries-and-territories figure only.,,,,,,src_del_offices_current,full office-directory landing page; no separate count,150+ Countries & territories,manual_source_extraction,1,5,combined_disclosure_prevents_disaggregation,false,,Not treated as zero and not derived from the combined lower bound.
obs_del_0159,global_country_territory_count,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,,,,,2026-07-18,150+,,150,,countries & territories,count,units,,,,,,,,reported,reported,Countries and territories in which Deloitte has locations or a presence; the source publishes only a combined lower-bound figure.,,,,,,src_del_offices_current,"office-directory landing page, headline scale statistics",150+ Countries & territories,manual_source_extraction,4,5,lower_bound,false,,Combined country-and-territory lower bound; it cannot be disaggregated into separate counts.
obs_del_0163,global_member_firm_count,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,,,,,2026-07-18,not found after search,,,,member firms,count,units,,,,,,,,not_found_after_search,reported,Current number of legally separate Deloitte member firms.,,,,,,src_del_network_structure,full governance page; no consolidated current count,Deloitte is made up of firms that are members of Deloitte Touche Tohmatsu Limited.,manual_source_extraction,2,5,explicit_missingness,false,,"Official global governance, office-directory, impact-report, and registry sources were checked; historical counts end at FY2015 in the extracted official series."
obs_del_0155,global_member_firm_count,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2011-06-01,2012-05-31,FY2012,2012,2012-05-31,48,48,,,member firms,count,units,,,,,,,,reported,reported,Number of Deloitte member firms reported for the fiscal year.,,,,,,src_del_metrics_2014,"performance table, organization/network scale section",Member firms: 48,manual_source_extraction,4,5,,false,,Historical network-structure count; current official pages do not publish a consolidated count.
obs_del_0156,global_member_firm_count,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2012-06-01,2013-05-31,FY2013,2013,2013-05-31,47,47,,,member firms,count,units,,,,,,,,reported,reported,Number of Deloitte member firms reported for the fiscal year.,,,,,,src_del_metrics_2014,"performance table, organization/network scale section",Member firms: 47,manual_source_extraction,4,5,,false,,Historical network-structure count; current official pages do not publish a consolidated count.
obs_del_0157,global_member_firm_count,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2013-06-01,2014-05-31,FY2014,2014,2014-05-31,47,47,,,member firms,count,units,,,,,,,,reported,reported,Number of Deloitte member firms reported for the fiscal year.,,,,,,src_del_metrics_2014,"performance table, organization/network scale section",Member firms: 47,manual_source_extraction,4,5,,false,,Historical network-structure count; current official pages do not publish a consolidated count.
obs_del_0158,global_member_firm_count,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2014-06-01,2015-05-31,FY2015,2015,2015-05-31,46,46,,,member firms,count,units,,,,,,,,reported,reported,Number of Deloitte member firms reported for the fiscal year.,,,,,,src_del_metrics_2015,"performance table, organization/network scale section",Member firms: 46,manual_source_extraction,4,5,,false,,Historical network-structure count; current official pages do not publish a consolidated count.
obs_del_0160,global_office_count,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,,,,,2026-07-18,hundreds of locations around the world,,,,locations,count,units,,,,,,,,not_found_after_search,,Current Deloitte office/location footprint described qualitatively by the official global directory.,,,,,,src_del_offices_current,"office-directory landing page, introductory text",With hundreds of locations around the world,manual_source_extraction,2,5,qualitative_no_exact_count,false,,The official global office directory and current impact/revenue materials were checked; no exact numeric global office count or defensible bound was found. No value is inferred from the word hundreds.
obs_del_0050,global_people_total,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2009-06-01,2010-05-31,FY2010,2010,2010-05-31,"170,000",170000,,,people,count,units,,,,,,,,reported,reported,Total people/workforce across the Deloitte organization at the end of the reporting period.,,,,,,src_del_history,Global revenues and people table,"People: 170,000",manual_source_extraction,5,5,rounded,false,,Source reports a rounded value.
obs_del_0051,global_people_total,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2010-06-01,2011-05-31,FY2011,2011,2011-05-31,"182,000",182000,,,people,count,units,,,,,,,,reported,reported,Total people/workforce across the Deloitte organization at the end of the reporting period.,,,,,,src_del_release_2011,press release body,"People: 182,000",manual_source_extraction,5,5,rounded,false,,Source reports a rounded value.
