observation_id,metric_id,firm_network,entity_id,entity_name,entity_scope,jurisdiction,geography_original,geography_canonical,service_line_original,service_line_canonical,industry_original,industry_canonical,client_id,period_start,period_end,fiscal_year_label,calendar_year,as_of_date,value_original_text,value_numeric,value_low,value_high,unit_original,unit_canonical,scale_original,currency_original,value_in_original_currency,value_usd_nominal,value_usd_constant_price,fx_rate_used,fx_rate_type,inflation_index_used,observation_status,reported_calculated_proxy_or_estimate,definition_from_source,formula_or_transformation,numerator_observation_ids,denominator_observation_ids,sample_size,population_size,source_id,source_locator,source_excerpt,extraction_method,comparability_score,confidence_score,quality_flag,revision_flag,supersedes_observation_id,researcher_notes
obs_del_0033,global_revenue_growth_local_currency,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2009-06-01,2010-05-31,FY2010,2010,,0.0%,0,,,percent,percent,percent,,,,,,,,reported,reported,Year-over-year aggregate revenue growth on a local-currency basis.,,,,,,src_del_release_2010,press release revenue table and opening paragraphs,local-currency basis growth: 0.0%,manual_source_extraction,5,5,,false,,
obs_del_0034,global_revenue_growth_local_currency,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2010-06-01,2011-05-31,FY2011,2011,,7.7%,7.7,,,percent,percent,percent,,,,,,,,reported,reported,Year-over-year aggregate revenue growth on a local-currency basis.,,,,,,src_del_release_2011,press release revenue table and opening paragraphs,local-currency basis growth: 7.7%,manual_source_extraction,5,5,,false,,
obs_del_0035,global_revenue_growth_local_currency,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2011-06-01,2012-05-31,FY2012,2012,,8.3%,8.3,,,percent,percent,percent,,,,,,,,reported,reported,Year-over-year aggregate revenue growth on a local-currency basis.,,,,,,src_del_metrics_2014,"performance table, revenue and growth section",local-currency basis growth: 8.3%,manual_source_extraction,5,5,,false,,
obs_del_0036,global_revenue_growth_local_currency,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2012-06-01,2013-05-31,FY2013,2013,,5.6%,5.6,,,percent,percent,percent,,,,,,,,reported,reported,Year-over-year aggregate revenue growth on a local-currency basis.,,,,,,src_del_metrics_2014,"performance table, revenue and growth section",local-currency basis growth: 5.6%,manual_source_extraction,5,5,,false,,
obs_del_0037,global_revenue_growth_local_currency,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2013-06-01,2014-05-31,FY2014,2014,,6.5%,6.5,,,percent,percent,percent,,,,,,,,reported,reported,Year-over-year aggregate revenue growth on a local-currency basis.,,,,,,src_del_metrics_2014,"performance table, revenue and growth section",local-currency basis growth: 6.5%,manual_source_extraction,5,5,,false,,
obs_del_0038,global_revenue_growth_local_currency,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2014-06-01,2015-05-31,FY2015,2015,,7.6%,7.6,,,percent,percent,percent,,,,,,,,reported,reported,Year-over-year aggregate revenue growth on a local-currency basis.,,,,,,src_del_metrics_2017,"performance table, financial metrics section",local-currency basis growth: 7.6%,manual_source_extraction,5,5,,false,,
obs_del_0039,global_revenue_growth_local_currency,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2015-06-01,2016-05-31,FY2016,2016,,9.5%,9.5,,,percent,percent,percent,,,,,,,,reported,reported,Year-over-year aggregate revenue growth on a local-currency basis.,,,,,,src_del_metrics_2017,"performance table, financial metrics section",local-currency basis growth: 9.5%,manual_source_extraction,5,5,,false,,
obs_del_0040,global_revenue_growth_local_currency,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2016-06-01,2017-05-31,FY2017,2017,,7.1%,7.1,,,percent,percent,percent,,,,,,,,reported,reported,Year-over-year aggregate revenue growth on a local-currency basis.,,,,,,src_del_metrics_2017,"performance table, financial metrics section",local-currency basis growth: 7.1%,manual_source_extraction,5,5,,false,,
obs_del_0041,global_revenue_growth_local_currency,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2017-06-01,2018-05-31,FY2018,2018,,8.2%,8.2,,,percent,percent,percent,,,,,,,,reported,reported,Year-over-year aggregate revenue growth on a local-currency basis.,,,,,,src_del_metrics_2019,"performance metrics, business section",local-currency basis growth: 8.2%,manual_source_extraction,5,5,,false,,
obs_del_0042,global_revenue_growth_local_currency,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2018-06-01,2019-05-31,FY2019,2019,,9.4%,9.4,,,percent,percent,percent,,,,,,,,reported,reported,Year-over-year aggregate revenue growth on a local-currency basis.,,,,,,src_del_metrics_2019,"performance metrics, business section",local-currency basis growth: 9.4%,manual_source_extraction,5,5,,false,,
obs_del_0043,global_revenue_growth_local_currency,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2019-06-01,2020-05-31,FY2020,2020,,5.5%,5.5,,,percent,percent,percent,,,,,,,,reported,reported,Year-over-year aggregate revenue growth on a local-currency basis. The reported rate is based on continuing operations.,,,,,,src_del_metrics_2021,"PDF p.2, Business",local-currency basis growth: 5.5%,manual_source_extraction,5,5,continuing_operations_adjustment,false,,FY2020 local-currency growth excludes businesses sold and adjusts the FY2019 comparator; the report also gives an unadjusted 4.7% rate.
obs_del_0049,global_revenue_growth_local_currency,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2019-06-01,2020-05-31,FY2020,2020,,4.7%,4.7,,,percent,percent,percent,,,,,,,,reported,reported,FY2020 local-currency revenue growth without excluding businesses sold or adjusting the FY2019 comparator.,,,,,,src_del_metrics_2021,"PDF p.2, Business footnote 2","Without the adjustment, growth was 4.7 percent in local currency.",manual_source_extraction,4,5,supplementary_unadjusted_measure,false,,Supplementary unadjusted disclosure; do not use in place of the reported 5.5% continuing-operations series.
obs_del_0044,global_revenue_growth_local_currency,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2020-06-01,2021-05-31,FY2021,2021,,2.7%,2.7,,,percent,percent,percent,,,,,,,,reported,reported,Year-over-year aggregate revenue growth on a local-currency basis.,,,,,,src_del_metrics_2021,"PDF p.2, Business",local-currency basis growth: 2.7%,manual_source_extraction,5,5,,false,,
obs_del_0045,global_revenue_growth_local_currency,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2021-06-01,2022-05-31,FY2022,2022,,19.6%,19.6,,,percent,percent,percent,,,,,,,,reported,reported,Year-over-year aggregate revenue growth on a local-currency basis.,,,,,,src_del_metrics_2023,"PDF p.11, Business",local-currency basis growth: 19.6%,manual_source_extraction,5,5,,false,,
obs_del_0046,global_revenue_growth_local_currency,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2022-06-01,2023-05-31,FY2023,2023,,14.9%,14.9,,,percent,percent,percent,,,,,,,,reported,reported,Year-over-year aggregate revenue growth on a local-currency basis.,,,,,,src_del_metrics_2023,"PDF p.11, Business",local-currency basis growth: 14.9%,manual_source_extraction,5,5,,false,,
obs_del_0047,global_revenue_growth_local_currency,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2023-06-01,2024-05-31,FY2024,2024,,3.1%,3.1,,,percent,percent,percent,,,,,,,,reported,reported,Year-over-year aggregate revenue growth on a local-currency basis.,,,,,,src_del_metrics_2025,"PDF p.6, Business",local-currency basis growth: 3.1%,manual_source_extraction,5,5,,false,,
obs_del_0048,global_revenue_growth_local_currency,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2024-06-01,2025-05-31,FY2025,2025,,4.8%,4.8,,,percent,percent,percent,,,,,,,,reported,reported,Year-over-year aggregate revenue growth on a local-currency basis.,,,,,,src_del_metrics_2025,"PDF p.6, Business",local-currency basis growth: 4.8%,manual_source_extraction,5,5,,false,,
obs_del_0017,global_revenue_growth_reported,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2009-06-01,2010-05-31,FY2010,2010,,1.8%,1.8,,,percent,percent,percent,,,,,,,,reported,reported,Year-over-year aggregate revenue growth on a US-dollar basis.,,,,,,src_del_release_2010,press release revenue table and opening paragraphs,US-dollar basis growth: 1.8%,manual_source_extraction,5,5,,false,,
obs_del_0018,global_revenue_growth_reported,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2010-06-01,2011-05-31,FY2011,2011,,8.4%,8.4,,,percent,percent,percent,,,,,,,,reported,reported,Year-over-year aggregate revenue growth on a US-dollar basis.,,,,,,src_del_release_2011,press release revenue table and opening paragraphs,US-dollar basis growth: 8.4%,manual_source_extraction,5,5,,false,,
obs_del_0019,global_revenue_growth_reported,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2011-06-01,2012-05-31,FY2012,2012,,8.6%,8.6,,,percent,percent,percent,,,,,,,,reported,reported,Year-over-year aggregate revenue growth on a US-dollar basis.,,,,,,src_del_metrics_2014,"performance table, revenue and growth section",US-dollar basis growth: 8.6%,manual_source_extraction,5,5,,false,,
