observation_id,metric_id,firm_network,entity_id,entity_name,entity_scope,jurisdiction,geography_original,geography_canonical,service_line_original,service_line_canonical,industry_original,industry_canonical,client_id,period_start,period_end,fiscal_year_label,calendar_year,as_of_date,value_original_text,value_numeric,value_low,value_high,unit_original,unit_canonical,scale_original,currency_original,value_in_original_currency,value_usd_nominal,value_usd_constant_price,fx_rate_used,fx_rate_type,inflation_index_used,observation_status,reported_calculated_proxy_or_estimate,definition_from_source,formula_or_transformation,numerator_observation_ids,denominator_observation_ids,sample_size,population_size,source_id,source_locator,source_excerpt,extraction_method,comparability_score,confidence_score,quality_flag,revision_flag,supersedes_observation_id,researcher_notes
obs_del_0122,global_revenue_region,Deloitte,ent_del_global,Deloitte organization,global_network,Global,Americas,Americas,,,,,,2014-06-01,2015-05-31,FY2015,2015,,US$18.3 billion,18.3,,,US$ billion,USD,billion,USD,18300000000,18300000000,,,,,reported,reported,Aggregate Deloitte organization revenue attributed to the source-defined Americas geographic region.,,,,,,src_del_metrics_2017,"performance table, financial metrics section",Americas: US$18.3 billion,manual_source_extraction,4,5,rounding_possible,false,,Regional scope follows Deloitte terminology; rounded regional values may not sum exactly to the reported global total.
obs_del_0124,global_revenue_region,Deloitte,ent_del_global,Deloitte organization,global_network,Global,Asia Pacific,Asia-Pacific,,,,,,2014-06-01,2015-05-31,FY2015,2015,,US$5.0 billion,5,,,US$ billion,USD,billion,USD,5000000000,5000000000,,,,,reported,reported,Aggregate Deloitte organization revenue attributed to the source-defined Asia Pacific geographic region.,,,,,,src_del_metrics_2017,"performance table, financial metrics section",Asia Pacific: US$5.0 billion,manual_source_extraction,4,5,rounding_possible,false,,Regional scope follows Deloitte terminology; rounded regional values may not sum exactly to the reported global total.
obs_del_0123,global_revenue_region,Deloitte,ent_del_global,Deloitte organization,global_network,Global,Europe/Middle East/Africa,"Europe, Middle East and Africa",,,,,,2014-06-01,2015-05-31,FY2015,2015,,US$11.9 billion,11.9,,,US$ billion,USD,billion,USD,11900000000,11900000000,,,,,reported,reported,Aggregate Deloitte organization revenue attributed to the source-defined Europe/Middle East/Africa geographic region.,,,,,,src_del_metrics_2017,"performance table, financial metrics section",Europe/Middle East/Africa: US$11.9 billion,manual_source_extraction,4,5,rounding_possible,false,,Regional scope follows Deloitte terminology; rounded regional values may not sum exactly to the reported global total.
obs_del_0125,global_revenue_region,Deloitte,ent_del_global,Deloitte organization,global_network,Global,Americas,Americas,,,,,,2015-06-01,2016-05-31,FY2016,2016,,US$19.3 billion,19.3,,,US$ billion,USD,billion,USD,19300000000,19300000000,,,,,reported,reported,Aggregate Deloitte organization revenue attributed to the source-defined Americas geographic region.,,,,,,src_del_metrics_2017,"performance table, financial metrics section",Americas: US$19.3 billion,manual_source_extraction,4,5,rounding_possible,false,,Regional scope follows Deloitte terminology; rounded regional values may not sum exactly to the reported global total.
obs_del_0127,global_revenue_region,Deloitte,ent_del_global,Deloitte organization,global_network,Global,Asia Pacific,Asia-Pacific,,,,,,2015-06-01,2016-05-31,FY2016,2016,,US$5.2 billion,5.2,,,US$ billion,USD,billion,USD,5200000000,5200000000,,,,,reported,reported,Aggregate Deloitte organization revenue attributed to the source-defined Asia Pacific geographic region.,,,,,,src_del_metrics_2017,"performance table, financial metrics section",Asia Pacific: US$5.2 billion,manual_source_extraction,4,5,rounding_possible,false,,Regional scope follows Deloitte terminology; rounded regional values may not sum exactly to the reported global total.
obs_del_0126,global_revenue_region,Deloitte,ent_del_global,Deloitte organization,global_network,Global,Europe/Middle East/Africa,"Europe, Middle East and Africa",,,,,,2015-06-01,2016-05-31,FY2016,2016,,US$12.3 billion,12.3,,,US$ billion,USD,billion,USD,12300000000,12300000000,,,,,reported,reported,Aggregate Deloitte organization revenue attributed to the source-defined Europe/Middle East/Africa geographic region.,,,,,,src_del_metrics_2017,"performance table, financial metrics section",Europe/Middle East/Africa: US$12.3 billion,manual_source_extraction,4,5,rounding_possible,false,,Regional scope follows Deloitte terminology; rounded regional values may not sum exactly to the reported global total.
obs_del_0128,global_revenue_region,Deloitte,ent_del_global,Deloitte organization,global_network,Global,Americas,Americas,,,,,,2016-06-01,2017-05-31,FY2017,2017,,US$20.4 billion,20.4,,,US$ billion,USD,billion,USD,20400000000,20400000000,,,,,reported,reported,Aggregate Deloitte organization revenue attributed to the source-defined Americas geographic region.,,,,,,src_del_metrics_2017,"performance table, financial metrics section",Americas: US$20.4 billion,manual_source_extraction,4,5,rounding_possible,false,,Regional scope follows Deloitte terminology; rounded regional values may not sum exactly to the reported global total.
obs_del_0130,global_revenue_region,Deloitte,ent_del_global,Deloitte organization,global_network,Global,Asia Pacific,Asia-Pacific,,,,,,2016-06-01,2017-05-31,FY2017,2017,,US$5.8 billion,5.8,,,US$ billion,USD,billion,USD,5800000000,5800000000,,,,,reported,reported,Aggregate Deloitte organization revenue attributed to the source-defined Asia Pacific geographic region.,,,,,,src_del_metrics_2017,"performance table, financial metrics section",Asia Pacific: US$5.8 billion,manual_source_extraction,4,5,rounding_possible,false,,Regional scope follows Deloitte terminology; rounded regional values may not sum exactly to the reported global total.
obs_del_0129,global_revenue_region,Deloitte,ent_del_global,Deloitte organization,global_network,Global,Europe/Middle East/Africa,"Europe, Middle East and Africa",,,,,,2016-06-01,2017-05-31,FY2017,2017,,US$12.5 billion,12.5,,,US$ billion,USD,billion,USD,12500000000,12500000000,,,,,reported,reported,Aggregate Deloitte organization revenue attributed to the source-defined Europe/Middle East/Africa geographic region.,,,,,,src_del_metrics_2017,"performance table, financial metrics section",Europe/Middle East/Africa: US$12.5 billion,manual_source_extraction,4,5,rounding_possible,false,,Regional scope follows Deloitte terminology; rounded regional values may not sum exactly to the reported global total.
obs_del_0131,global_revenue_region,Deloitte,ent_del_global,Deloitte organization,global_network,Global,Americas,Americas,,,,,,2017-06-01,2018-05-31,FY2018,2018,,US$22.1 billion,22.1,,,US$ billion,USD,billion,USD,22100000000,22100000000,,,,,reported,reported,Aggregate Deloitte organization revenue attributed to the source-defined Americas geographic region.,,,,,,src_del_metrics_2019,"performance metrics, business section",Americas: US$22.1 billion,manual_source_extraction,4,5,rounding_possible,false,,Regional scope follows Deloitte terminology; rounded regional values may not sum exactly to the reported global total.
