observation_id,metric_id,firm_network,entity_id,entity_name,entity_scope,jurisdiction,geography_original,geography_canonical,service_line_original,service_line_canonical,industry_original,industry_canonical,client_id,period_start,period_end,fiscal_year_label,calendar_year,as_of_date,value_original_text,value_numeric,value_low,value_high,unit_original,unit_canonical,scale_original,currency_original,value_in_original_currency,value_usd_nominal,value_usd_constant_price,fx_rate_used,fx_rate_type,inflation_index_used,observation_status,reported_calculated_proxy_or_estimate,definition_from_source,formula_or_transformation,numerator_observation_ids,denominator_observation_ids,sample_size,population_size,source_id,source_locator,source_excerpt,extraction_method,comparability_score,confidence_score,quality_flag,revision_flag,supersedes_observation_id,researcher_notes
obs_del_0050,global_people_total,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2009-06-01,2010-05-31,FY2010,2010,2010-05-31,"170,000",170000,,,people,count,units,,,,,,,,reported,reported,Total people/workforce across the Deloitte organization at the end of the reporting period.,,,,,,src_del_history,Global revenues and people table,"People: 170,000",manual_source_extraction,5,5,rounded,false,,Source reports a rounded value.
obs_del_0051,global_people_total,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2010-06-01,2011-05-31,FY2011,2011,2011-05-31,"182,000",182000,,,people,count,units,,,,,,,,reported,reported,Total people/workforce across the Deloitte organization at the end of the reporting period.,,,,,,src_del_release_2011,press release body,"People: 182,000",manual_source_extraction,5,5,rounded,false,,Source reports a rounded value.
obs_del_0052,global_people_total,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2011-06-01,2012-05-31,FY2012,2012,2012-05-31,"193,000",193000,,,people,count,units,,,,,,,,reported,reported,Total people/workforce across the Deloitte organization at the end of the reporting period.,,,,,,src_del_history,Global revenues and people table,"People: 193,000",manual_source_extraction,5,5,rounded,false,,Source reports a rounded value.
obs_del_0053,global_people_total,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2012-06-01,2013-05-31,FY2013,2013,2013-05-31,"200,000+",,200000,,people,count,units,,,,,,,,reported,reported,Total people/workforce across the Deloitte organization at the end of the reporting period.,,,,,,src_del_history,Global revenues and people table,"People: 200,000+",manual_source_extraction,5,5,lower_bound,false,,
obs_del_0054,global_people_total,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2013-06-01,2014-05-31,FY2014,2014,2014-05-31,"210,400",210400,,,people,count,units,,,,,,,,reported,reported,Total people/workforce across the Deloitte organization at the end of the reporting period.,,,,,,src_del_history,Global revenues and people table,"People: 210,400",manual_source_extraction,5,5,rounded,false,,Source reports a rounded value.
obs_del_0055,global_people_total,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2014-06-01,2015-05-31,FY2015,2015,2015-05-31,"225,351",225351,,,people,count,units,,,,,,,,reported,reported,Total people/workforce across the Deloitte organization at the end of the reporting period.,,,,,,src_del_metrics_2017,"performance table, people section","People: 225,351",manual_source_extraction,5,5,,false,,
obs_del_0056,global_people_total,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2015-06-01,2016-05-31,FY2016,2016,2016-05-31,"244,445",244445,,,people,count,units,,,,,,,,reported,reported,Total people/workforce across the Deloitte organization at the end of the reporting period.,,,,,,src_del_metrics_2017,"performance table, people section","People: 244,445",manual_source_extraction,5,5,,false,,
obs_del_0057,global_people_total,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2016-06-01,2017-05-31,FY2017,2017,2017-05-31,"263,924",263924,,,people,count,units,,,,,,,,reported,reported,Total people/workforce across the Deloitte organization at the end of the reporting period.,,,,,,src_del_metrics_2017,"performance table, people section","People: 263,924",manual_source_extraction,5,5,,false,,
obs_del_0058,global_people_total,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2017-06-01,2018-05-31,FY2018,2018,2018-05-31,"286,200",286200,,,people,count,units,,,,,,,,reported,reported,Total people/workforce across the Deloitte organization at the end of the reporting period.,,,,,,src_del_metrics_2019,"performance metrics, people graphic","People: 286,200",manual_source_extraction,5,5,rounded,false,,Source reports a rounded value.
obs_del_0059,global_people_total,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2018-06-01,2019-05-31,FY2019,2019,2019-05-31,"312,028",312028,,,people,count,units,,,,,,,,reported,reported,Total people/workforce across the Deloitte organization at the end of the reporting period.,,,,,,src_del_metrics_2021,"performance metrics, people graphic","People: 312,028",manual_source_extraction,5,5,,false,,
obs_del_0060,global_people_total,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2019-06-01,2020-05-31,FY2020,2020,2020-05-31,"334,800",334800,,,people,count,units,,,,,,,,reported,reported,Total people/workforce across the Deloitte organization at the end of the reporting period.,,,,,,src_del_metrics_2021,"PDF p.7, Total workforce","People: 334,800",manual_source_extraction,5,5,,false,,
obs_del_0061,global_people_total,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2020-06-01,2021-05-31,FY2021,2021,2021-05-31,"345,374",345374,,,people,count,units,,,,,,,,reported,reported,Total people/workforce across the Deloitte organization at the end of the reporting period.,,,,,,src_del_metrics_2021,"PDF p.7, Total workforce","People: 345,374",manual_source_extraction,5,5,,false,,
obs_del_0062,global_people_total,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2021-06-01,2022-05-31,FY2022,2022,2022-05-31,"411,951",411951,,,people,count,units,,,,,,,,reported,reported,Total people/workforce across the Deloitte organization at the end of the reporting period.,,,,,,src_del_metrics_2023,"PDF p.15, Total people","People: 411,951",manual_source_extraction,5,5,,false,,
