observation_id,metric_id,firm_network,entity_id,entity_name,entity_scope,jurisdiction,geography_original,geography_canonical,service_line_original,service_line_canonical,industry_original,industry_canonical,client_id,period_start,period_end,fiscal_year_label,calendar_year,as_of_date,value_original_text,value_numeric,value_low,value_high,unit_original,unit_canonical,scale_original,currency_original,value_in_original_currency,value_usd_nominal,value_usd_constant_price,fx_rate_used,fx_rate_type,inflation_index_used,observation_status,reported_calculated_proxy_or_estimate,definition_from_source,formula_or_transformation,numerator_observation_ids,denominator_observation_ids,sample_size,population_size,source_id,source_locator,source_excerpt,extraction_method,comparability_score,confidence_score,quality_flag,revision_flag,supersedes_observation_id,researcher_notes
obs_del_0001,global_revenue_total,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2009-06-01,2010-05-31,FY2010,2010,,US$26.6 billion,26.6,,,US$ billion,USD,billion,USD,26600000000,26600000000,,,,,reported,reported,Aggregate revenue of the Deloitte organization/member firms for the fiscal year ended 31 May; monetary values are presented in US dollars.,,,,,,src_del_release_2010,press release revenue table and opening paragraphs,Aggregate global revenue: US$26.6 billion,manual_source_extraction,0.95,0.98,rounding_possible,false,,Nominal US-dollar amount; no inflation adjustment applied.
obs_del_0002,global_revenue_total,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2010-06-01,2011-05-31,FY2011,2011,,US$28.8 billion,28.8,,,US$ billion,USD,billion,USD,28800000000,28800000000,,,,,reported,reported,Aggregate revenue of the Deloitte organization/member firms for the fiscal year ended 31 May; monetary values are presented in US dollars.,,,,,,src_del_release_2011,press release revenue table and opening paragraphs,Aggregate global revenue: US$28.8 billion,manual_source_extraction,0.95,0.98,rounding_possible,false,,Nominal US-dollar amount; no inflation adjustment applied.
obs_del_0003,global_revenue_total,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2011-06-01,2012-05-31,FY2012,2012,,US$31.3 billion,31.3,,,US$ billion,USD,billion,USD,31300000000,31300000000,,,,,reported,reported,Aggregate revenue of the Deloitte organization/member firms for the fiscal year ended 31 May; monetary values are presented in US dollars.,,,,,,src_del_metrics_2014,"performance table, revenue and growth section",Aggregate global revenue: US$31.3 billion,manual_source_extraction,0.95,0.98,rounding_possible,false,,Nominal US-dollar amount; no inflation adjustment applied.
obs_del_0004,global_revenue_total,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2012-06-01,2013-05-31,FY2013,2013,,US$32.4 billion,32.4,,,US$ billion,USD,billion,USD,32400000000,32400000000,,,,,reported,reported,Aggregate revenue of the Deloitte organization/member firms for the fiscal year ended 31 May; monetary values are presented in US dollars.,,,,,,src_del_metrics_2014,"performance table, revenue and growth section",Aggregate global revenue: US$32.4 billion,manual_source_extraction,0.95,0.98,rounding_possible,false,,Nominal US-dollar amount; no inflation adjustment applied.
obs_del_0005,global_revenue_total,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2013-06-01,2014-05-31,FY2014,2014,,US$34.2 billion,34.2,,,US$ billion,USD,billion,USD,34200000000.000004,34200000000.000004,,,,,reported,reported,Aggregate revenue of the Deloitte organization/member firms for the fiscal year ended 31 May; monetary values are presented in US dollars.,,,,,,src_del_metrics_2014,"performance table, revenue and growth section",Aggregate global revenue: US$34.2 billion,manual_source_extraction,0.95,0.98,rounding_possible,false,,Nominal US-dollar amount; no inflation adjustment applied.
obs_del_0006,global_revenue_total,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2014-06-01,2015-05-31,FY2015,2015,,US$35.2 billion,35.2,,,US$ billion,USD,billion,USD,35200000000,35200000000,,,,,reported,reported,Aggregate revenue of the Deloitte organization/member firms for the fiscal year ended 31 May; monetary values are presented in US dollars.,,,,,,src_del_metrics_2017,"performance table, financial metrics section",Aggregate global revenue: US$35.2 billion,manual_source_extraction,0.95,0.98,rounding_possible,false,,Nominal US-dollar amount; no inflation adjustment applied.
obs_del_0007,global_revenue_total,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2015-06-01,2016-05-31,FY2016,2016,,US$36.8 billion,36.8,,,US$ billion,USD,billion,USD,36800000000,36800000000,,,,,reported,reported,Aggregate revenue of the Deloitte organization/member firms for the fiscal year ended 31 May; monetary values are presented in US dollars.,,,,,,src_del_metrics_2017,"performance table, financial metrics section",Aggregate global revenue: US$36.8 billion,manual_source_extraction,0.95,0.98,rounding_possible,false,,Nominal US-dollar amount; no inflation adjustment applied.
obs_del_0008,global_revenue_total,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2016-06-01,2017-05-31,FY2017,2017,,US$38.8 billion,38.8,,,US$ billion,USD,billion,USD,38800000000,38800000000,,,,,reported,reported,Aggregate revenue of the Deloitte organization/member firms for the fiscal year ended 31 May; monetary values are presented in US dollars.,,,,,,src_del_metrics_2017,"performance table, financial metrics section",Aggregate global revenue: US$38.8 billion,manual_source_extraction,0.95,0.98,rounding_possible,false,,Nominal US-dollar amount; no inflation adjustment applied.
obs_del_0009,global_revenue_total,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2017-06-01,2018-05-31,FY2018,2018,,US$43.2 billion,43.2,,,US$ billion,USD,billion,USD,43200000000,43200000000,,,,,reported,reported,Aggregate revenue of the Deloitte organization/member firms for the fiscal year ended 31 May; monetary values are presented in US dollars.,,,,,,src_del_metrics_2019,"performance metrics, business section",Aggregate global revenue: US$43.2 billion,manual_source_extraction,0.95,0.98,rounding_possible,false,,Nominal US-dollar amount; no inflation adjustment applied.
obs_del_0010,global_revenue_total,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2018-06-01,2019-05-31,FY2019,2019,,US$46.2 billion,46.2,,,US$ billion,USD,billion,USD,46200000000,46200000000,,,,,reported,reported,Aggregate revenue of the Deloitte organization/member firms for the fiscal year ended 31 May; monetary values are presented in US dollars.,,,,,,src_del_metrics_2019,"performance metrics, business section",Aggregate global revenue: US$46.2 billion,manual_source_extraction,0.95,0.98,rounding_possible,false,,Nominal US-dollar amount; no inflation adjustment applied.
obs_del_0011,global_revenue_total,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2019-06-01,2020-05-31,FY2020,2020,,US$47.6 billion,47.6,,,US$ billion,USD,billion,USD,47600000000,47600000000,,,,,reported,reported,Aggregate revenue of the Deloitte organization/member firms for the fiscal year ended 31 May; monetary values are presented in US dollars.,,,,,,src_del_metrics_2021,"PDF p.2, Business",Aggregate global revenue: US$47.6 billion,manual_source_extraction,0.95,0.98,rounding_possible,false,,Nominal US-dollar amount; no inflation adjustment applied.
obs_del_0012,global_revenue_total,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2020-06-01,2021-05-31,FY2021,2021,,US$50.2 billion,50.2,,,US$ billion,USD,billion,USD,50200000000,50200000000,,,,,reported,reported,Aggregate revenue of the Deloitte organization/member firms for the fiscal year ended 31 May; monetary values are presented in US dollars.,,,,,,src_del_metrics_2021,"PDF p.2, Business",Aggregate global revenue: US$50.2 billion,manual_source_extraction,0.95,0.98,rounding_possible,false,,Nominal US-dollar amount; no inflation adjustment applied.
obs_del_0013,global_revenue_total,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2021-06-01,2022-05-31,FY2022,2022,,US$59.3 billion,59.3,,,US$ billion,USD,billion,USD,59300000000,59300000000,,,,,reported,reported,Aggregate revenue of the Deloitte organization/member firms for the fiscal year ended 31 May; monetary values are presented in US dollars.,,,,,,src_del_metrics_2023,"PDF p.11, Business",Aggregate global revenue: US$59.3 billion,manual_source_extraction,0.95,0.98,rounding_possible,false,,Nominal US-dollar amount; no inflation adjustment applied.
obs_del_0014,global_revenue_total,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2022-06-01,2023-05-31,FY2023,2023,,US$64.9 billion,64.9,,,US$ billion,USD,billion,USD,64900000000.00001,64900000000.00001,,,,,reported,reported,Aggregate revenue of the Deloitte organization/member firms for the fiscal year ended 31 May; monetary values are presented in US dollars.,,,,,,src_del_metrics_2023,"PDF p.11, Business",Aggregate global revenue: US$64.9 billion,manual_source_extraction,0.95,0.98,rounding_possible,false,,Nominal US-dollar amount; no inflation adjustment applied.
obs_del_0015,global_revenue_total,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2023-06-01,2024-05-31,FY2024,2024,,US$67.2 billion,67.2,,,US$ billion,USD,billion,USD,67200000000,67200000000,,,,,reported,reported,Aggregate revenue of the Deloitte organization/member firms for the fiscal year ended 31 May; monetary values are presented in US dollars.,,,,,,src_del_metrics_2025,"PDF p.6, Business",Aggregate global revenue: US$67.2 billion,manual_source_extraction,0.95,0.98,rounding_possible,false,,Nominal US-dollar amount; no inflation adjustment applied.
obs_del_0016,global_revenue_total,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2024-06-01,2025-05-31,FY2025,2025,,US$70.5 billion,70.5,,,US$ billion,USD,billion,USD,70500000000,70500000000,,,,,reported,reported,Aggregate revenue of the Deloitte organization/member firms for the fiscal year ended 31 May; monetary values are presented in US dollars.,,,,,,src_del_metrics_2025,"PDF p.6, Business",Aggregate global revenue: US$70.5 billion,manual_source_extraction,0.95,0.98,rounding_possible,false,,Nominal US-dollar amount; no inflation adjustment applied.
obs_del_0017,global_revenue_growth_reported,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2009-06-01,2010-05-31,FY2010,2010,,1.8%,1.8,,,percent,percent,percent,,,,,,,,reported,reported,Year-over-year aggregate revenue growth on a US-dollar basis.,,,,,,src_del_release_2010,press release revenue table and opening paragraphs,US-dollar basis growth: 1.8%,manual_source_extraction,0.95,0.98,,false,,
obs_del_0018,global_revenue_growth_reported,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2010-06-01,2011-05-31,FY2011,2011,,8.4%,8.4,,,percent,percent,percent,,,,,,,,reported,reported,Year-over-year aggregate revenue growth on a US-dollar basis.,,,,,,src_del_release_2011,press release revenue table and opening paragraphs,US-dollar basis growth: 8.4%,manual_source_extraction,0.95,0.98,,false,,
obs_del_0019,global_revenue_growth_reported,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2011-06-01,2012-05-31,FY2012,2012,,8.6%,8.6,,,percent,percent,percent,,,,,,,,reported,reported,Year-over-year aggregate revenue growth on a US-dollar basis.,,,,,,src_del_metrics_2014,"performance table, revenue and growth section",US-dollar basis growth: 8.6%,manual_source_extraction,0.95,0.98,,false,,
obs_del_0020,global_revenue_growth_reported,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2012-06-01,2013-05-31,FY2013,2013,,3.5%,3.5,,,percent,percent,percent,,,,,,,,reported,reported,Year-over-year aggregate revenue growth on a US-dollar basis.,,,,,,src_del_metrics_2014,"performance table, revenue and growth section",US-dollar basis growth: 3.5%,manual_source_extraction,0.95,0.98,,false,,
obs_del_0021,global_revenue_growth_reported,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2013-06-01,2014-05-31,FY2014,2014,,5.7%,5.7,,,percent,percent,percent,,,,,,,,reported,reported,Year-over-year aggregate revenue growth on a US-dollar basis.,,,,,,src_del_metrics_2014,"performance table, revenue and growth section",US-dollar basis growth: 5.7%,manual_source_extraction,0.95,0.98,,false,,
obs_del_0022,global_revenue_growth_reported,Deloitte,ent_del_global,Deloitte organization,global_network,Global,,,,,,,,2014-06-01,2015-05-31,FY2015,2015,,2.9%,2.9,,,percent,percent,percent,,,,,,,,reported,reported,Year-over-year aggregate revenue growth on a US-dollar basis.,,,,,,src_del_metrics_2017,"performance table, financial metrics section",US-dollar basis growth: 2.9%,manual_source_extraction,0.95,0.98,,false,,
