observation_id,metric_id,firm_network,entity_id,entity_name,entity_scope,jurisdiction,geography_original,geography_canonical,service_line_original,service_line_canonical,industry_original,industry_canonical,client_id,period_start,period_end,fiscal_year_label,calendar_year,as_of_date,value_original_text,value_numeric,value_low,value_high,unit_original,unit_canonical,scale_original,currency_original,value_in_original_currency,value_usd_nominal,value_usd_constant_price,fx_rate_used,fx_rate_type,inflation_index_used,observation_status,reported_calculated_proxy_or_estimate,definition_from_source,formula_or_transformation,numerator_observation_ids,denominator_observation_ids,sample_size,population_size,source_id,source_locator,source_excerpt,extraction_method,comparability_score,confidence_score,quality_flag,revision_flag,supersedes_observation_id,researcher_notes
obs_ey_revenue_total_fy10,global_revenue_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2009-07-01,2010-06-30,FY2010,2010,,"US$21,255 million",21255,,,US$ millions,USD_millions,millions,USD,21255,21255,,,,,reported,reported,"Combined, not consolidated, global revenue; inter-firm billings eliminated and client-billed expenses included.",,,,,,src_ey_fy11_archive,"PDF pp.43-45 (printed pp.41-43), Facts and figures tables","Total revenue | US$21,255m",manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_people_total_fy10,global_people_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2009-07-01,2010-06-30,FY2010,2010,2010-06-30,"140,964",140964,,,people,people,ones,,,,,,,,reported,reported,Total EY people at the end of June.,,,,,,src_ey_fy11_archive,"PDF pp.43-45 (printed pp.41-43), Facts and figures tables","Total people | 140,964",manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_total_fy11,global_revenue_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2010-07-01,2011-06-30,FY2011,2011,,"US$22,880 million",22880,,,US$ millions,USD_millions,millions,USD,22880,22880,,,,,reported,reported,"Combined, not consolidated, global revenue; inter-firm billings eliminated and client-billed expenses included.",,,,,,src_ey_fy11_archive,"PDF pp.43-45 (printed pp.41-43), Facts and figures tables","Total revenue | US$22,880m",manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_people_total_fy11,global_people_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2010-07-01,2011-06-30,FY2011,2011,2011-06-30,"151,841",151841,,,people,people,ones,,,,,,,,reported,reported,Total EY people at the end of June.,,,,,,src_ey_fy11_archive,"PDF pp.43-45 (printed pp.41-43), Facts and figures tables","Total people | 151,841",manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_total_fy12,global_revenue_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2011-07-01,2012-06-30,FY2012,2012,,"US$24,420 million",24420,,,US$ millions,USD_millions,millions,USD,24420,24420,,,,,reported,reported,"Combined, not consolidated, global revenue; inter-firm billings eliminated and client-billed expenses included.",,,,,,src_ey_fy12_archive,Facts and figures: Financial highlights and People tables,"Total revenue | US$24,420m",manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_people_total_fy12,global_people_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2011-07-01,2012-06-30,FY2012,2012,2012-06-30,"167,225",167225,,,people,people,ones,,,,,,,,reported,reported,Total EY people at the end of June.,,,,,,src_ey_fy12_archive,Facts and figures: Financial highlights and People tables,"Total people | 167,225",manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_total_fy13,global_revenue_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2012-07-01,2013-06-30,FY2013,2013,,"US$25,829 million",25829,,,US$ millions,USD_millions,millions,USD,25829,25829,,,,,reported,reported,Combined global member-firm revenue; inter-member-firm revenue eliminated and client-billed expenses included.,,,,,,src_ey_fy13,FY13 financial information and headcount tables; basis note,"Total revenue | US$25,829m",manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_people_total_fy13,global_people_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2012-07-01,2013-06-30,FY2013,2013,2013-06-30,"174,808",174808,,,people,people,ones,,,,,,,,reported,reported,Total EY people at the end of June.,,,,,,src_ey_fy13,FY13 financial information and headcount tables; basis note,"Total people | 174,808",manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_total_fy14,global_revenue_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2013-07-01,2014-06-30,FY2014,2014,,"US$27,369 million",27369,,,US$ millions,USD_millions,millions,USD,27369,27369,,,,,reported,reported,Combined global member-firm revenue; inter-member-firm revenue eliminated and client-billed expenses included.,,,,,,src_ey_fy14,FY14 financial information and headcount tables; basis note,"Total revenue | US$27,369m",manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_people_total_fy14,global_people_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2013-07-01,2014-06-30,FY2014,2014,2014-06-30,"188,292",188292,,,people,people,ones,,,,,,,,reported,reported,Total EY people at the end of June.,,,,,,src_ey_fy14,FY14 financial information and headcount tables; basis note,"Total people | 188,292",manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_total_fy15,global_revenue_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2014-07-01,2015-06-30,FY2015,2015,,"US$28,655 million",28655,,,US$ millions,USD_millions,millions,USD,28655,28655,,,,,reported,reported,Combined global member-firm revenue; inter-member-firm revenue eliminated and client-billed expenses included.,,,,,,src_ey_fy15,FY15 financial information and headcount tables; basis note,"Total revenue | US$28,655m",manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_people_total_fy15,global_people_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2014-07-01,2015-06-30,FY2015,2015,2015-06-30,"211,450",211450,,,people,people,ones,,,,,,,,reported,reported,Total EY people at the end of June.,,,,,,src_ey_fy15,FY15 financial information and headcount tables; basis note,"Total people | 211,450",manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_total_fy16,global_revenue_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2015-07-01,2016-06-30,FY2016,2016,,"US$29,626 million",29626,,,US$ millions,USD_millions,millions,USD,29626,29626,,,,,reported,reported,Combined global member-firm revenue; inter-member-firm revenue eliminated and client-billed expenses included.,,,,,,src_ey_fy16,EY FY16 global revenues and headcount tables; basis note,"Total revenue | US$29,626m",manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_people_total_fy16,global_people_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2015-07-01,2016-06-30,FY2016,2016,2016-06-30,"230,800",230800,,,people,people,ones,,,,,,,,reported,reported,Total EY people at the end of June.,,,,,,src_ey_fy16,EY FY16 global revenues and headcount tables; basis note,"Total people | 230,800",manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_total_fy17,global_revenue_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2016-07-01,2017-06-30,FY2017,2017,,"US$31,404 million",31404,,,US$ millions,USD_millions,millions,USD,31404,31404,,,,,reported,reported,Combined global member-firm revenue; inter-member-firm revenue eliminated and client-billed expenses included.,,,,,,src_ey_fy17,"EY revenues by service line, geographic area and headcount tables; basis note","Total revenue | US$31,404m",manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_people_total_fy17,global_people_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2016-07-01,2017-06-30,FY2017,2017,2017-06-30,"247,570",247570,,,people,people,ones,,,,,,,,reported,reported,Total EY people at the end of June.,,,,,,src_ey_fy17,"EY revenues by service line, geographic area and headcount tables; basis note","Total people | 247,570",manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_total_fy18,global_revenue_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2017-07-01,2018-06-30,FY2018,2018,,"US$34,772 million",34772,,,US$ millions,USD_millions,millions,USD,34772,34772,,,,,reported,reported,Combined global member-firm revenue; inter-member-firm revenue eliminated and client-billed expenses included.,,,,,,src_ey_fy18,"EY revenues by service line, geographic area and headcount tables; basis note","Total revenue | US$34,772m",manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_people_total_fy18,global_people_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2017-07-01,2018-06-30,FY2018,2018,2018-06-30,"261,559",261559,,,people,people,ones,,,,,,,,reported,reported,Total EY people at the end of June.,,,,,,src_ey_fy18,"EY revenues by service line, geographic area and headcount tables; basis note","Total people | 261,559",manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_revenue_total_fy19,global_revenue_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2018-07-01,2019-06-30,FY2019,2019,,"US$36,394 million",36394,,,US$ millions,USD_millions,millions,USD,36394,36394,,,,,reported,reported,Combined global member-firm revenue; inter-member-firm revenue eliminated and client-billed expenses included.,,,,,,src_ey_fy19,"EY revenues by service line, geographic area and headcount tables; basis note","Total revenue | US$36,394m",manual_web_or_pdf_transcription,5,5,verified_official,false,,
obs_ey_people_total_fy19,global_people_total,EY,ent_ey_global,EY global organization,global_network,Global,,,,,,,,2018-07-01,2019-06-30,FY2019,2019,2019-06-30,"284,018",284018,,,people,people,ones,,,,,,,,reported,reported,Total EY people at the end of June.,,,,,,src_ey_fy19,"EY revenues by service line, geographic area and headcount tables; basis note","Total people | 284,018",manual_web_or_pdf_transcription,5,5,verified_official,false,,
