observation_id,metric_id,firm_network,entity_id,entity_name,entity_scope,jurisdiction,geography_original,geography_canonical,service_line_original,service_line_canonical,industry_original,industry_canonical,client_id,period_start,period_end,fiscal_year_label,calendar_year,as_of_date,value_original_text,value_numeric,value_low,value_high,unit_original,unit_canonical,scale_original,currency_original,value_in_original_currency,value_usd_nominal,value_usd_constant_price,fx_rate_used,fx_rate_type,inflation_index_used,observation_status,reported_calculated_proxy_or_estimate,definition_from_source,formula_or_transformation,numerator_observation_ids,denominator_observation_ids,sample_size,population_size,source_id,source_locator,source_excerpt,extraction_method,comparability_score,confidence_score,quality_flag,revision_flag,supersedes_observation_id,researcher_notes
obs_kpmg_0001,global_revenue_total,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2009-10-01,2010-09-30,FY2010,2010,,US$20.63 billion,20.63,,,US$ billion,USD_millions,billion,USD,20630.0,20630.0,,,,,reported,reported,Combined or aggregated revenue of independent KPMG member firms; exact terminology and inclusions follow the cited source.,,,,,,src_kpmg_ar2011,"PDF p.32, Total Revenues chart",FY10 $20.63 billion,manual_web_text,4,4,,false,,
obs_kpmg_0002,global_revenue_total,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2010-10-01,2011-09-30,FY2011,2011,,US$22.71 billion,22.71,,,US$ billion,USD_millions,billion,USD,22710.0,22710.0,,,,,reported,reported,Combined or aggregated revenue of independent KPMG member firms; exact terminology and inclusions follow the cited source.,,,,,,src_kpmg_ar2011,"PDF p.32, Global Total Revenues",FY11 $22.71 billion,manual_web_text,4,4,,false,,
obs_kpmg_0003,global_revenue_total,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2011-10-01,2012-09-30,FY2012,2012,,US$23.03 billion,23.03,,,US$ billion,USD_millions,billion,USD,23030.0,23030.0,,,,,reported,reported,Combined or aggregated revenue of independent KPMG member firms; exact terminology and inclusions follow the cited source.,,,,,,src_kpmg_ar2013,"PDF p.28, Global total revenues",FY12 23.03,manual_web_text,4,4,,false,,
obs_kpmg_0004,global_revenue_total,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2012-10-01,2013-09-30,FY2013,2013,,US$23.42 billion,23.42,,,US$ billion,USD_millions,billion,USD,23420.0,23420.0,,,,,reported,reported,Combined or aggregated revenue of independent KPMG member firms; exact terminology and inclusions follow the cited source.,,,,,,src_kpmg_ar2013,"PDF p.28, Global total revenues",FY13 23.42,manual_web_text,4,4,,false,,
obs_kpmg_0005,global_revenue_total,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2013-10-01,2014-09-30,FY2014,2014,,US$24.82 billion,24.82,,,US$ billion,USD_millions,billion,USD,24820.0,24820.0,,,,,reported,reported,Combined or aggregated revenue of independent KPMG member firms; exact terminology and inclusions follow the cited source.,,,,,,src_kpmg_ar2014,"PDF p.37, Global total revenues",FY14 $24.82,manual_web_text,4,4,,false,,
obs_kpmg_0006,global_revenue_total,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2014-10-01,2015-09-30,FY2015,2015,,US$24.44 billion,24.44,,,US$ billion,USD_millions,billion,USD,24440.0,24440.0,,,,,reported,reported,Combined or aggregated revenue of independent KPMG member firms; exact terminology and inclusions follow the cited source.,,,,,,src_kpmg_ar2015,"PDF p.37, Financials and organization",FY15 $24.44,manual_web_text,4,4,,false,,
obs_kpmg_0007,global_revenue_total,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2015-10-01,2016-09-30,FY2016,2016,,US$25.42 billion,25.42,,,US$ billion,USD_millions,billion,USD,25420.0,25420.0,,,,,reported,reported,Combined or aggregated revenue of independent KPMG member firms; exact terminology and inclusions follow the cited source.,,,,,,src_kpmg_ar2016,"PDF p.36, By function",FY16 $25.42 billion,manual_web_text,4,4,,false,,
obs_kpmg_0008,global_revenue_total,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2016-10-01,2017-09-30,FY2017,2017,,US$26.4 billion,26.4,,,US$ billion,USD_millions,billion,USD,26400.0,26400.0,,,,,reported,reported,Combined or aggregated revenue of independent KPMG member firms; exact terminology and inclusions follow the cited source.,,,,,,src_kpmg_ar2017,"PDF p.40, Financials",FY17 $26.40 billion,manual_web_text,4,4,,false,,
obs_kpmg_0009,global_revenue_total,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2017-10-01,2018-09-30,FY2018,2018,,US$28.96 billion,28.96,,,US$ billion,USD_millions,billion,USD,28960.0,28960.0,,,,,reported,reported,Combined or aggregated revenue of independent KPMG member firms; exact terminology and inclusions follow the cited source.,,,,,,src_kpmg_fy18,"PDF p.1 and p.4, highlights/table",FY18 US$28.96 billion,manual_web_text,4,4,,false,,
obs_kpmg_0010,global_revenue_total,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2018-10-01,2019-09-30,FY2019,2019,,US$29.75 billion,29.75,,,US$ billion,USD_millions,billion,USD,29750.0,29750.0,,,,,reported,reported,Combined or aggregated revenue of independent KPMG member firms; exact terminology and inclusions follow the cited source.,,,,,,src_kpmg_ar2019,"PDF p.49, FY19 global revenue table",Combined global revenues $29.75 billion,official_search_index,4,4,verify_pdf_on_refresh,false,,
obs_kpmg_0011,global_revenue_total,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2019-10-01,2020-09-30,FY2020,2020,,US$29.22 billion,29.22,,,US$ billion,USD_millions,billion,USD,29220.0,29220.0,,,,,reported,reported,Combined or aggregated revenue of independent KPMG member firms; exact terminology and inclusions follow the cited source.,,,,,,src_kpmg_fy20,Highlights and opening paragraph,FY20 global revenue US$29.22 billion,manual_web_text,4,4,,false,,
obs_kpmg_0012,global_revenue_total,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2020-10-01,2021-09-30,FY2021,2021,,US$32.13 billion,32.13,,,US$ billion,USD_millions,billion,USD,32130.0,32130.0,,,,,reported,reported,Combined or aggregated revenue of independent KPMG member firms; exact terminology and inclusions follow the cited source.,,,,,,src_kpmg_fy21,Opening paragraph and revenue table,FY21 $32.13 billion,manual_web_text,4,4,,false,,
obs_kpmg_0013,global_revenue_total,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2021-10-01,2022-09-30,FY2022,2022,,US$34.64 billion,34.64,,,US$ billion,USD_millions,billion,USD,34640.0,34640.0,,,,,reported,reported,Combined or aggregated revenue of independent KPMG member firms; exact terminology and inclusions follow the cited source.,,,,,,src_kpmg_fy22,"Notes to editors, FY22 revenue table",FY22 total 34.64,manual_web_text,4,4,,false,,
obs_kpmg_0014,global_revenue_total,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2022-10-01,2023-09-30,FY2023,2023,,US$36.4 billion,36.4,,,US$ billion,USD_millions,billion,USD,36400.0,36400.0,,,,,reported,reported,Combined or aggregated revenue of independent KPMG member firms; exact terminology and inclusions follow the cited source.,,,,,,src_kpmg_fy23,"Notes to editors, FY23 revenue table",FY23 total 36.4,manual_web_text,4,4,,false,,
obs_kpmg_0015,global_revenue_total,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2023-10-01,2024-09-30,FY2024,2024,,US$38.4 billion,38.4,,,US$ billion,USD_millions,billion,USD,38400.0,38400.0,,,,,reported,reported,Combined or aggregated revenue of independent KPMG member firms; exact terminology and inclusions follow the cited source.,,,,,,src_kpmg_fy24,"Notes to editors, FY24 revenue table",FY24 total 38.4,manual_web_text,4,4,exclude_from_primary,false,,Superseded for continuing-operations comparisons by the FY25 release's restated FY24 value.
obs_kpmg_0016,global_revenue_total,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2023-10-01,2024-09-30,FY2024,2024,,US$37.8 billion,37.8,,,US$ billion,USD_millions,billion,USD,37800.0,37800.0,,,,,reported,reported,Combined or aggregated revenue of independent KPMG member firms; exact terminology and inclusions follow the cited source.,,,,,,src_kpmg_fy25,Embedded Revenue Region/Function tables,FY24 37.8,embedded_infogram_json,4,4,,true,obs_kpmg_0015,Restated on a continuing-operations basis after divestitures and exits; preferred for FY24-to-FY25 comparison.
obs_kpmg_0017,global_revenue_total,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2024-10-01,2025-09-30,FY2025,2025,,US$39.8 billion,39.8,,,US$ billion,USD_millions,billion,USD,39800.0,39800.0,,,,,reported,reported,Combined or aggregated revenue of independent KPMG member firms; exact terminology and inclusions follow the cited source.,,,,,,src_kpmg_fy25,Opening paragraph and embedded revenue tables,FY25 39.8,embedded_infogram_json,4,4,,false,,Continuing-operations headline basis.
obs_kpmg_0018,global_revenue_total,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2024-10-01,2025-09-30,FY2025,2025,,US$40.2 billion,40.2,,,US$ billion,USD_millions,billion,USD,40200.0,40200.0,,,,,reported,reported,Combined or aggregated revenue of independent KPMG member firms; exact terminology and inclusions follow the cited source.,,,,,,src_kpmg_fy25,Notes to editors,FY25 full basis US$40.2 billion,manual_web_text,4,4,exclude_from_primary,false,,Full-basis alternative; the continuing-operations headline is US$39.8 billion.
obs_kpmg_0019,global_revenue_growth_usd,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2010-10-01,2011-09-30,FY2011,2011,,10.1%,10.1,,,percent,percent,,,,,,,,,reported,reported,US-dollar growth based on reported member-firm revenue.,,,,,,src_kpmg_ar2011,"PDF p.32, Global Total Revenues",10.1 percent in U.S. dollars,manual_web_text,3,4,,false,,
obs_kpmg_0020,global_revenue_growth_local_currency,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2010-10-01,2011-09-30,FY2011,2011,,6.2%,6.2,,,percent,percent,,,,,,,,,reported,reported,Local-currency growth.,,,,,,src_kpmg_ar2011,"PDF p.32, Global Total Revenues",6.2 percent in local currency,manual_web_text,3,4,,false,,
obs_kpmg_0021,global_revenue_growth_local_currency,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2014-10-01,2015-09-30,FY2015,2015,,8.1%,8.1,,,percent,percent,,,,,,,,,reported,reported,Local-currency growth.,,,,,,src_kpmg_ar2015,"PDF p.37, Financials and organization",Growth 8.1%,visual_pdf_table,3,4,,false,,
obs_kpmg_0022,global_revenue_growth_local_currency,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2015-10-01,2016-09-30,FY2016,2016,,8%,8.0,,,percent,percent,,,,,,,,,reported,reported,Local-currency growth.,,,,,,src_kpmg_ar2016,"PDF p.36, Growth",Growth 8.0%,manual_web_text,3,4,,false,,
obs_kpmg_0023,global_revenue_growth_local_currency,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2016-10-01,2017-09-30,FY2017,2017,,4.8%,4.8,,,percent,percent,,,,,,,,,reported,reported,Local-currency growth.,,,,,,src_kpmg_ar2017,"PDF p.40, FY17 global revenue growth",Revenue growth 4.8%,manual_web_text,3,4,,false,,
obs_kpmg_0024,global_revenue_growth_local_currency,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2017-10-01,2018-09-30,FY2018,2018,,7.1%,7.1,,,percent,percent,,,,,,,,,reported,reported,Local-currency growth.,,,,,,src_kpmg_fy18,PDF p.1 and p.4,FY18 local growth 7.1%,manual_web_text,3,4,,false,,
obs_kpmg_0025,global_revenue_growth_usd,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2017-10-01,2018-09-30,FY2018,2018,,9.7%,9.7,,,percent,percent,,,,,,,,,reported,reported,US-dollar growth.,,,,,,src_kpmg_fy18,"PDF p.4, revenue table",Total US$ Growth 9.7%,manual_web_text,3,4,,false,,
obs_kpmg_0026,global_revenue_growth_local_currency,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2018-10-01,2019-09-30,FY2019,2019,,6.2%,6.2,,,percent,percent,,,,,,,,,reported,reported,Local-currency growth.,,,,,,src_kpmg_ar2019,"PDF p.49, FY19 summary",Revenue growth 6.2% in local currency,official_search_index,3,4,verify_pdf_on_refresh,false,,
obs_kpmg_0027,global_revenue_growth_usd,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2020-10-01,2021-09-30,FY2021,2021,,10%,10.0,,,percent,percent,,,,,,,,,reported,reported,US-dollar growth.,,,,,,src_kpmg_fy21,Opening paragraph,10% increase in US dollar revenues,manual_web_text,3,4,,false,,
obs_kpmg_0028,global_revenue_growth_reported,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2021-10-01,2022-09-30,FY2022,2022,,14%,14.0,,,percent,percent,,,,,,,,,reported,reported,Headline continuing-operations growth; excludes businesses sold or exited.,,,,,,src_kpmg_fy22,Opening paragraph and footnote,increase of 14%,manual_web_text,3,4,,false,,
obs_kpmg_0029,global_revenue_growth_local_currency,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2021-10-01,2022-09-30,FY2022,2022,,13%,13.0,,,percent,percent,,,,,,,,,reported,reported,Unrestated local-currency growth; the continuing-operations headline is 14%.,,,,,,src_kpmg_fy22,"Notes to editors, total row",Total local growth 13%,manual_web_text,3,4,,false,,
obs_kpmg_0030,global_revenue_growth_local_currency,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2022-10-01,2023-09-30,FY2023,2023,,8%,8.0,,,percent,percent,,,,,,,,,reported,reported,Local-currency growth at consistent exchange rates.,,,,,,src_kpmg_fy23,"Notes to editors, total row",Total local growth 8%,manual_web_text,3,4,,false,,
obs_kpmg_0031,global_revenue_growth_usd,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2022-10-01,2023-09-30,FY2023,2023,,5%,5.0,,,percent,percent,,,,,,,,,reported,reported,US-dollar growth derived by the firm from unrounded values.,,,,,,src_kpmg_fy23,"Notes to editors, total row",Total US$ growth 5%,manual_web_text,3,4,,false,,
obs_kpmg_0032,global_revenue_growth_local_currency,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2023-10-01,2024-09-30,FY2024,2024,,5.1%,5.1,,,percent,percent,,,,,,,,,reported,reported,Local-currency growth at consistent exchange rates.,,,,,,src_kpmg_fy24,"Notes to editors, total row",Total local growth 5.1%,manual_web_text,3,4,exclude_from_primary,false,,Original FY24 publication; FY25 later restated the comparison perimeter.
obs_kpmg_0033,global_revenue_growth_usd,KPMG,ent_kpmg_global,KPMG global organization,global_network,Global,,,,,,,,2023-10-01,2024-09-30,FY2024,2024,,5.4%,5.4,,,percent,percent,,,,,,,,,reported,reported,US-dollar growth derived by the firm from unrounded values.,,,,,,src_kpmg_fy24,"Notes to editors, total row",Total US$ growth 5.4%,manual_web_text,3,4,exclude_from_primary,false,,Original FY24 publication; FY25 later restated the comparison perimeter.
