source_id,source_title,publisher,publisher_type,document_type,url,archived_url,publication_date,filing_date,reporting_period_start,reporting_period_end,access_date,language,official_source_flag,audited_flag,primary_or_secondary,source_grade,paywall_flag,local_filename_if_saved,notes
src_kpmg_governance,Governance,KPMG International,firm,governance_webpage,https://kpmg.com/xx/en/misc/governance.html,,,2020-02-24,,,2026-07-18,en,true,false,primary,B,false,,"Current official structure page; states legal form, company number, registered office, and coordinating role."
src_kpmg_ar2011,KPMG 2011 International Annual Review,KPMG International,firm,annual_review,https://assets.kpmg.com/content/dam/kpmg/pdf/2012/01/kpmg-international-annual-review-2011.pdf,,,,2010-10-01,2011-09-30,2026-07-18,en,true,false,primary,B,false,,"Official annual review; exact publication day not printed in extracted metadata."
src_kpmg_ar2013,International Annual Review 2013,KPMG International,firm,annual_review,https://assets.kpmg.com/content/dam/kpmg/pdf/2013/12/international-annual-review-2013.pdf,,,,2012-10-01,2013-09-30,2026-07-18,en,true,false,primary,B,false,,"Official annual review containing FY12 and FY13 comparative tables."
src_kpmg_ar2014,2014 KPMG International Annual Review,KPMG International,firm,annual_review,https://assets.kpmg.com/content/dam/kpmg/pdf/2014/12/international-annual-review-2014.pdf,,,,2013-10-01,2014-09-30,2026-07-18,en,true,false,primary,B,false,,"Official annual review containing FY13 and FY14 comparative tables."
src_kpmg_ar2015,2015 KPMG International Annual Review,KPMG International,firm,annual_review,https://assets.kpmg.com/content/dam/kpmg/pdf/2015/12/international-annual-review-2015.pdf,,,,2014-10-01,2015-09-30,2026-07-18,en,true,false,primary,B,false,,"Official annual review; financial pages visually inspected because the text layer omits positioned chart labels."
src_kpmg_ar2016,2016 KPMG International Annual Review,KPMG International,firm,annual_review,https://assets.kpmg.com/content/dam/kpmg/iar/international-annual-review-2016.pdf,,,,2015-10-01,2016-09-30,2026-07-18,en,true,false,primary,B,false,,"Official annual review containing FY15 and FY16 comparative tables."
src_kpmg_ar2017,2017 KPMG International Annual Review,KPMG International,firm,annual_review,https://assets.kpmg.com/content/dam/kpmg/xx/pdf/2017/12/international-annual-review-2017.pdf,,,,2016-10-01,2017-09-30,2026-07-18,en,true,false,primary,B,false,,"Official annual review containing FY16 and FY17 comparative tables."
src_kpmg_fy18,KPMG global revenues grow to record US $29 billion,KPMG International,firm,revenue_release,https://assets.kpmg.com/content/dam/kpmg/sg/pdf/2018/12/kpmg-global-revenues-grow-to-record.pdf,,2018-12-13,,2017-10-01,2018-09-30,2026-07-18,en,true,false,primary,B,false,,"Official revenue release with function, region, growth, and workforce values."
src_kpmg_ar2019,2019 KPMG Global Review,KPMG International,firm,annual_review,https://assets.kpmg.com/content/dam/kpmg/pe/pdf/global-annual-review-2019.pdf,,,,2018-10-01,2019-09-30,2026-07-18,en,true,false,primary,B,false,,"Official annual review hosted by KPMG Peru; page 49 contains the financial tables. The former KPMG Norway asset URL returned 404 at the research cutoff."
src_kpmg_fy20,KPMG announces FY20 revenue of US$29.22 billion,KPMG International,firm,revenue_release,https://kpmg.com/kw/en/media/2021/01/kpmg-announces-fy20-global-revenues.html,,,,2019-10-01,2020-09-30,2026-07-18,en,true,false,primary,B,false,,"Official KPMG member-site mirror of KPMG International's global release."
src_kpmg_fy21,KPMG reports global revenues of $32.13 billion for FY21,KPMG International,firm,revenue_release,https://kpmg.com/kw/en/media/2021/12/kpmg-reports-global-revenues-of--32-13-billion-for-fy21--focus-o.html,,2021-12-09,,2020-10-01,2021-09-30,2026-07-18,en,true,false,primary,B,false,,"Official KPMG member-site mirror; includes exact function and region tables and average FTE note."
src_kpmg_fy22,KPMG delivers strong global revenues reporting 14% growth in FY22,KPMG International,firm,revenue_release,https://kpmg.com/xx/en/media/press-releases/2022/12/kpmg-reports-global-revenues-of-usd-35-billion-for-fy22.html,,2022-12-13,,2021-10-01,2022-09-30,2026-07-18,en,true,false,primary,B,false,,"Official global release; 14% headline is continuing operations while the tabulated 13% is unadjusted."
src_kpmg_fy23,KPMG global FY2023 revenues grow to US$36 billion,KPMG International,firm,revenue_release,https://kpmg.com/xx/en/media/press-releases/2023/12/global-fy2023-revenues-grow-to-36-billion.html,,2023-12-13,,2022-10-01,2023-09-30,2026-07-18,en,true,false,primary,B,false,,"Official global release with function, region, headcount, and growth tables."
src_kpmg_fy24,Robust growth for KPMG as global revenues rise 5.1% to US$38.4 billion,KPMG International,firm,revenue_release,https://kpmg.com/xx/en/media/press-releases/2024/12/robust-growth-for-kpmg-as-global-revenues-rise-5-percent-to-us-dollar-38-point-4-billion.html,,2024-12-17,,2023-10-01,2024-09-30,2026-07-18,en,true,false,primary,B,false,,"Original FY24 release; some FY24 values were restated on a continuing-operations basis in the FY25 release."
src_kpmg_fy25,KPMG delivers 5.1% rise in global revenue,KPMG International,firm,revenue_release,https://kpmg.com/xx/en/media/press-releases/2025/12/kpmg-delivers-rise-in-global-revenue.html,,2025-12-16,,2024-10-01,2025-09-30,2026-07-18,en,true,false,primary,B,false,,"Official global release. Embedded official Infogram tables contain FY25 and restated FY24 function, region, and headcount data."
