observation_id,metric_id,firm_network,entity_id,entity_name,entity_scope,jurisdiction,geography_original,geography_canonical,service_line_original,service_line_canonical,industry_original,industry_canonical,client_id,period_start,period_end,fiscal_year_label,calendar_year,as_of_date,value_original_text,value_numeric,value_low,value_high,unit_original,unit_canonical,scale_original,currency_original,value_in_original_currency,value_usd_nominal,value_usd_constant_price,fx_rate_used,fx_rate_type,inflation_index_used,observation_status,reported_calculated_proxy_or_estimate,definition_from_source,formula_or_transformation,numerator_observation_ids,denominator_observation_ids,sample_size,population_size,source_id,source_locator,source_excerpt,extraction_method,comparability_score,confidence_score,quality_flag,revision_flag,supersedes_observation_id,researcher_notes
obs_pwc_0001,global_revenue_total,PwC,ent_pwc_network,PwC global network,global_network,Global,,,,,,,,2009-07-01,2010-06-30,FY10,2010,,"26,569",26569,,,US$ millions,currency_amount,millions,USD,26569000000,26569000000,,,,,reported,reported,"Gross revenues are aggregated revenues of PwC firms, expressed in US dollars at average fiscal-year exchange rates, and include expenses billed to clients.",value_numeric × 1000000,,,,,src_pwc_gar2010,"PDF p. 41, Figure 1","Gross revenues: 26,569 (US$ millions).",manual_pdf_table_transcription,4,4,official_reported,false,,
obs_pwc_0002,global_revenue_growth_reported,PwC,ent_pwc_network,PwC global network,global_network,Global,,,,,,,,2009-07-01,2010-06-30,FY10,2010,,1.5%,1.5,,,percent,percent,units,,,,,,,,reported,reported,Year-over-year growth in reported US dollars at each year's average exchange rates.,,,,,,src_pwc_gar2010,"PDF p. 41, Figure 1",US-dollar/variable-rate change: 1.5%.,manual_pdf_table_transcription,3,4,official_reported,false,,
obs_pwc_0003,global_revenue_growth_local_currency,PwC,ent_pwc_network,PwC global network,global_network,Global,,,,,,,,2009-07-01,2010-06-30,FY10,2010,,0.3%,0.3,,,percent,percent,units,,,,,,,,reported,reported,Year-over-year local-currency growth without the impact of US-dollar exchange-rate movements.,,,,,,src_pwc_gar2010,"PDF p. 41, Figure 1",local-currency growth: 0.3%.,manual_pdf_table_transcription,3,4,official_reported,false,,PwC states that constant-exchange-rate growth reflects local-currency growth; both metric aliases retain the same reported value.
obs_pwc_0004,global_revenue_growth_constant_currency,PwC,ent_pwc_network,PwC global network,global_network,Global,,,,,,,,2009-07-01,2010-06-30,FY10,2010,,0.3%,0.3,,,percent,percent,units,,,,,,,,reported,reported,Year-over-year local-currency growth without the impact of US-dollar exchange-rate movements.,,,,,,src_pwc_gar2010,"PDF p. 41, Figure 1",constant-exchange-rate change: 0.3%.,manual_pdf_table_transcription,3,4,official_reported,false,,PwC states that constant-exchange-rate growth reflects local-currency growth; both metric aliases retain the same reported value.
obs_pwc_0005,global_revenue_total,PwC,ent_pwc_network,PwC global network,global_network,Global,,,,,,,,2010-07-01,2011-06-30,FY11,2011,,"29,223",29223,,,US$ millions,currency_amount,millions,USD,29223000000,29223000000,,,,,reported,reported,"Gross revenues are aggregated revenues of PwC firms, expressed in US dollars at average fiscal-year exchange rates, and include expenses billed to clients.",value_numeric × 1000000,,,,,src_pwc_gar2011,"PDF p. 41, Figure 1","Gross revenues: 29,223 (US$ millions).",manual_pdf_table_transcription,4,4,official_reported,false,,
obs_pwc_0006,global_revenue_growth_reported,PwC,ent_pwc_network,PwC global network,global_network,Global,,,,,,,,2010-07-01,2011-06-30,FY11,2011,,10.0%,10.0,,,percent,percent,units,,,,,,,,reported,reported,Year-over-year growth in reported US dollars at each year's average exchange rates.,,,,,,src_pwc_gar2011,"PDF p. 41, Figure 1",US-dollar/variable-rate change: 10.0%.,manual_pdf_table_transcription,3,4,official_reported,false,,
obs_pwc_0007,global_revenue_growth_local_currency,PwC,ent_pwc_network,PwC global network,global_network,Global,,,,,,,,2010-07-01,2011-06-30,FY11,2011,,8.2%,8.2,,,percent,percent,units,,,,,,,,reported,reported,Year-over-year local-currency growth without the impact of US-dollar exchange-rate movements.,,,,,,src_pwc_gar2011,"PDF p. 41, Figure 1",local-currency growth: 8.2%.,manual_pdf_table_transcription,3,4,official_reported,false,,PwC states that constant-exchange-rate growth reflects local-currency growth; both metric aliases retain the same reported value.
obs_pwc_0008,global_revenue_growth_constant_currency,PwC,ent_pwc_network,PwC global network,global_network,Global,,,,,,,,2010-07-01,2011-06-30,FY11,2011,,8.2%,8.2,,,percent,percent,units,,,,,,,,reported,reported,Year-over-year local-currency growth without the impact of US-dollar exchange-rate movements.,,,,,,src_pwc_gar2011,"PDF p. 41, Figure 1",constant-exchange-rate change: 8.2%.,manual_pdf_table_transcription,3,4,official_reported,false,,PwC states that constant-exchange-rate growth reflects local-currency growth; both metric aliases retain the same reported value.
obs_pwc_0009,global_revenue_total,PwC,ent_pwc_network,PwC global network,global_network,Global,,,,,,,,2011-07-01,2012-06-30,FY12,2012,,"31,510",31510,,,US$ millions,currency_amount,millions,USD,31510000000,31510000000,,,,,reported,reported,"Gross revenues are aggregated revenues of PwC firms, expressed in US dollars at average fiscal-year exchange rates, and include expenses billed to clients.",value_numeric × 1000000,,,,,src_pwc_gar2012,"PDF p. 42, Figure 1","Gross revenues: 31,510 (US$ millions).",manual_pdf_table_transcription,4,4,official_reported,false,,
obs_pwc_0010,global_revenue_growth_reported,PwC,ent_pwc_network,PwC global network,global_network,Global,,,,,,,,2011-07-01,2012-06-30,FY12,2012,,7.8%,7.8,,,percent,percent,units,,,,,,,,reported,reported,Year-over-year growth in reported US dollars at each year's average exchange rates.,,,,,,src_pwc_gar2012,"PDF p. 42, Figure 1",US-dollar/variable-rate change: 7.8%.,manual_pdf_table_transcription,3,4,official_reported,false,,
